[2016-05-08 03:42:04] error_log.ERROR: Exception thrown in file >>> C:\xampp\htdocs\my-projects\zegy\classes\CommonQueries.php <<<,   line >>> 75 <<<,   with the message >>> SQLSTATE[HY000]: General error: 1 no such table: ussers <<<  [] []
[2016-05-08 03:43:42] error_log.ERROR: Exception thrown in file >>> C:\xampp\htdocs\my-projects\zegy\classes\CommonQueries.php <<<,   line >>> 75 <<<,   with the message >>> SQLSTATE[HY000]: General error: 1 no such table: ussers <<<  [] []
[2016-05-07 20:45:20] error_log.ERROR: Exception thrown in file >>> C:\xampp\htdocs\my-projects\zegy\classes\CommonQueries.php <<<,   line >>> 75 <<<,   with the message >>> SQLSTATE[HY000]: General error: 1 no such table: ussers <<<  [] []
[2016-05-07 20:51:33] error_log.ERROR: Exception thrown in file >>> C:\xampp\htdocs\my-projects\zegy\classes\CommonQueries.php <<<,   line >>> 75 <<<,   with the message >>> SQLSTATE[HY000]: General error: 1 no such table: ussers <<<  [] []
[2016-05-07 20:52:09] error_log.ERROR: Exception thrown in file >>> C:\xampp\htdocs\my-projects\zegy\classes\CommonQueries.php <<<,   line >>> 75 <<<,   with the message >>> SQLSTATE[HY000]: General error: 1 no such table: ussers <<<  [] []
[2016-05-07 20:52:52] error_log.ERROR: Exception thrown in file >>> C:\xampp\htdocs\my-projects\zegy\classes\CommonQueries.php <<<,   line >>> 75 <<<,   with the message >>> SQLSTATE[HY000]: General error: 1 no such table: ussers <<<  [] []
[2016-05-07 21:03:15] error_log.ERROR: Exception thrown in file >>> C:\xampp\htdocs\my-projects\zegy\classes\CommonQueries.php <<<,   line >>> 75 <<<,   with the message >>> SQLSTATE[HY000]: General error: 1 no such table: ussers <<<  [] []
[2016-05-07 21:10:15] error_log.ERROR: Exception thrown in file >>> C:\xampp\htdocs\my-projects\zegy\classes\CommonQueries.php <<<,   line >>> 75 <<<,   with the message >>> SQLSTATE[HY000]: General error: 1 no such table: ussers <<<  [] []
[2016-05-07 21:10:50] error_log.ERROR: Exception thrown in file >>> C:\xampp\htdocs\my-projects\zegy\classes\CommonQueries.php <<<,   line >>> 75 <<<,   with the message >>> SQLSTATE[HY000]: General error: 1 no such table: ussers <<<  [] []
[2016-05-07 21:13:42] error_log.ERROR: Exception thrown in file >>> C:\xampp\htdocs\my-projects\zegy\classes\CommonQueries.php <<<,   line >>> 75 <<<,   with the message >>> SQLSTATE[HY000]: General error: 1 no such table: ussers <<<  [] []
[2016-05-07 21:17:05] error_log.ERROR: Exception thrown in file >>> C:\xampp\htdocs\my-projects\zegy\classes\CommonQueries.php <<<,   line >>> 75 <<<,   with the message >>> SQLSTATE[HY000]: General error: 1 no such table: ussers <<<  [] []
[2016-05-07 21:18:59] error_log.ERROR: Exception thrown in file >>> C:\xampp\htdocs\my-projects\zegy\classes\CommonQueries.php <<<,   line >>> 75 <<<,   with the message >>> SQLSTATE[HY000]: General error: 1 no such table: ussers <<<  [] []
